item_id,passed_recall_gate
25726036,no
26173873,yes
26173928,no
26401821,no
26584730,yes
26584984,yes
26585159,yes
26585220,yes
26585236,yes
26585307,yes
26585416,yes
26585483,yes
26585746,yes
26776847,no
27453485,no
27672373,yes
27672560,no
28131515,no
28132981,no
29140459,no
29226864,yes
29227313,no
29227530,no
29227562,no
29227593,yes
29227628,no
29227727,no
29227995,yes
29228070,yes
29228096,yes
29228221,yes
29228341,no
29228477,yes
29228636,no
29228683,no
29228769,no
29229469,no
29229685,yes
29229735,no
29229905,no
29230166,no
29230418,yes
29230502,no
29230710,no
29231107,no
29231941,no
29232663,yes
29233254,no
29239173,no
29242864,no
29250081,no
29260051,no
29357993,yes
30214652,yes
30216137,no
30216841,no
30217243,no
30217385,no
30217460,no
30218486,no
30218643,no
30218983,yes
30219039,no
30219532,no
30219776,no
30219869,no
30219992,no
30220192,no
30220343,no
30220484,no
30220608,no
30221138,no
30228586,no
30232286,no
30233419,no
30235645,yes
30237216,no
30239806,no
31409616,yes
31409704,no
31409852,yes
31411500,no
31417173,no
31420110,no
31453273,yes
31453423,no
31453490,yes
31453898,yes
31454061,no
31454102,no
31454885,no
31457599,no
31549457,no
31549591,no
31550565,no
31551710,no
31551765,yes
31559387,yes
31559528,no
31562168,yes
31614248,no
31614301,no
31614326,no
31614375,no
32039965,yes
32217718,no
32251262,no
32585258,no
32643547,yes
32643638,yes
32643682,yes
32643691,no
32643855,no
32644494,yes
32644913,no
33095644,yes
33096538,no
33096847,no
33107611,yes
33107694,yes
33107845,no
33111903,yes
33112247,yes
33115324,no
33115854,yes
33117840,yes
33133644,yes
33133720,no
33135103,no
33200193,no
33272862,yes
33418969,no
33433954,no
33521836,yes
33776703,no
34149176,yes
34152945,yes
34154053,yes
34156636,no
34159273,no
34328245,yes
34647054,no
34647791,yes
34653090,yes
34817163,yes
34817837,no
34881812,yes
34883154,yes
34969662,no
34970409,yes
34970696,no
34970834,no
34970906,no
35168499,yes
35168638,no
35168780,no
35169144,no
35427910,no
35793849,no
35800927,no
36349820,no
36491321,no
36498378,no
36505419,yes
36505541,no
36505922,yes
36505958,yes
36505980,yes
36506110,yes
36506146,yes
36506195,yes
36506230,no
36506246,yes
36506258,yes
36506755,yes
36506843,yes
36507168,yes
36507242,yes
36507332,yes
36507341,yes
36507719,no
36507921,yes
36508005,yes
36508087,yes
36508293,no
36508450,yes
36508463,no
36508908,yes
36509383,yes
36509461,no
36510367,yes
36511079,no
36512276,yes
36513298,no
36513357,yes
36513476,yes
36513603,no
36527960,no
36529757,no
36579602,no
36732692,yes
36733171,no
36733594,no
36734268,no
36736673,no
36742214,yes
36754061,no
36755565,no
37084400,no
37084753,yes
37086546,no
37092684,yes
37094247,no
37096694,yes
37098441,no
37102720,no
37216150,no
37216214,no
37216458,no
37216531,no
37216694,no
37217206,yes
37321957,yes
37495679,no
37968992,no
37969192,no
37971050,no
37971170,no
37972821,no
37974521,no
37983038,no
38036203,no
38036204,yes
38036771,yes
38036833,yes
38036950,no
38037654,no
38037780,no
38039425,yes
38502051,no
38542112,yes
38548730,yes
38554557,no
38708450,no
38796567,no
38861171,no
38828564,yes
38989653,no
39249237,no
39486035,yes
39737209,yes
39748034,yes
39974850,yes
40005354,yes
40017198,no
40088420,no
40088421,yes
40096847,no
40146382,no
40335948,no
40458675,no
40637657,yes
40701410,no
40773428,no
40776993,yes
40775290,no
40818587,no
40818607,no
41219932,yes
41224852,yes
41351356,yes
41352860,no
41354645,yes
41367750,yes
41368478,no
41368611,no
41369317,no
41369500,no
41369570,yes
41369674,no
41369724,no
41370508,no
41370782,yes
41370908,no
41371142,no
41371163,no
41371242,no
41371354,no
41371521,no
41371671,no
41372870,no
41374166,no
41374242,no
41376271,no
41376660,no
41377000,no
41378796,no
41379938,no
41443659,no
41433900,yes
41436340,yes
41480034,yes
41481910,yes
41481915,yes
41481955,yes
41481968,yes
41481981,no
41481992,yes
41482009,yes
41482062,no
41482108,no
41482145,yes
41482152,no
41482155,no
41482169,yes
41482312,yes
41482335,no
41482366,yes
41482393,no
41482476,yes
41482502,no
41482609,yes
41482778,yes
41482843,yes
41482898,no
41484469,yes
41484762,no
41493233,no
41493346,no
41619394,yes
41631175,no
41712089,yes
41717514,no
41730291,no
41763859,yes
41945805,no
41945827,no
42158038,no
42158052,no
42158128,no
42158206,no
42158403,no
42158538,no
42191770,no
42480075,no
42509161,yes
42586941,yes
42625595,no
42701258,yes
42701460,no
42729190,yes
42779844,no
42887216,no
42960396,yes
42960754,no
42961619,no
43078705,no
43083687,no
43084370,yes
43084397,no
43084504,no
43084580,yes
43084783,yes
43084818,no
43085175,yes
43086072,yes
43086463,no
43087666,no
43088220,no
43088449,no
43088786,yes
43089241,yes
43093406,no
43102581,no
43273506,no
43273575,no
43273810,no
43273904,no
43282179,no
43295230,no
43295429,no
43296225,no
43469804,no
43480665,yes
43484555,no
43576487,yes
43604157,yes
43607710,no
43682793,no
43623943,no
43624321,yes
43674094,no
43678490,no
43679809,yes
43680508,no
43688942,no
43690462,no
43710761,no
43713234,no
43713435,no
43716914,no
43719048,no
43734542,no
43756142,yes
43821049,yes
43886864,no
43928118,yes
43928372,yes
43928485,no
43928491,no
43928572,no
43928612,no
43928686,no
43928788,no
43928897,no
43929025,no
43929154,no
43929366,yes
43929443,no
43929445,no
43929649,yes
43929883,no
43929991,no
43930126,no
43930265,no
43930407,no
43930474,no
43930904,yes
43931152,no
43931197,yes
43931309,no
43932173,no
43932260,no
43932323,no
43932392,yes
43932722,no
43932921,no
43933105,yes
43933140,no
43933269,no
43933340,no
43933386,no
43933457,no
43933509,no
43933601,no
43933698,no
43934168,no
43935573,no
43936478,no
43928374,no
43928466,no
43953014,yes
43959656,no
43977973,yes
43978433,no
43979651,no
44031404,yes
44031473,no
44133072,yes
44134533,no
44135480,yes
44143995,yes
44160873,no
44162584,yes
44161152,no
44161187,no
44161523,no
44168306,yes
44168627,yes
44183000,yes
44184563,no
44185237,no
44185282,no
44245320,yes
44246247,yes
44268434,no
44280247,no
44290513,yes
44298562,yes
44311613,yes
44312085,no
44314063,yes
44325276,no
44328373,no
44328516,no
44328837,no
44328852,no
44328872,no
44328873,no
44328890,no
44328896,no
44328901,no
44328915,no
44328968,no
44328974,no
44328989,no
44328998,no
44329007,no
44329014,no
44329025,no
44329071,no
44329172,yes
44329235,no
44329301,no
44329588,yes
44329814,yes
44329848,no
44329963,yes
44330154,no
44330210,no
44330402,no
44337989,no
44346935,no
44350611,no
44424041,yes
44424888,yes
44424919,no
44424984,yes
44424987,no
44424994,no
44425084,no
44425085,yes
44425110,no
44425137,no
44425401,no
44427532,no
44432991,no
44475916,yes
44519567,yes
44542185,no
44570436,yes
44571195,no
44571294,no
44571382,no
44571977,no
44581268,yes
44619624,yes
44619655,yes
44619778,no
44626811,yes
44703127,no
44747542,no
44747543,yes
44769960,yes
44770115,no
44770243,no
44801653,yes
44811382,yes
44827527,no
44836358,no
44863646,no
44874774,no
44879984,no
44885776,no
44930204,no
44932137,no
44932355,no
44932434,yes
44941132,no
44941422,yes
44942576,no
44950133,no
44972239,yes
44972564,no
44973758,yes
44974307,no
44974334,no
44974410,no
44974453,yes
44974532,no
44974643,no
44975282,no
44975618,yes
44975649,no
44975775,no
44976492,no
44976625,no
44976713,no
44976882,no
44977524,no
44978969,yes
44980044,no
44980188,yes
44980382,no
44981420,no
44992743,no
44983472,yes
45008915,yes
45010742,yes
45012858,yes
45012938,yes
45035409,no
45026337,no
45120283,yes
45159382,yes
45192439,yes
45192758,yes
45206793,no
45218483,yes
45263722,yes
45264175,no
45338887,no
45373615,no
45373822,no
45390897,no
45426287,no
45418719,no
45426033,no
45444539,yes
45461258,yes
45529577,no
45530607,no
45530628,no
45530675,no
45530790,yes
45530826,yes
45530849,no
45530853,no
45530884,no
45530891,yes
45530916,no
45530952,no
45530953,no
45531035,no
45531080,no
45531108,no
45531134,yes
45531149,no
45531182,no
45531187,no
45531217,no
45531243,no
45531248,no
45531278,no
45531283,no
45531308,no
45531329,yes
45531438,yes
45531623,yes
45531626,no
45531657,no
45531667,no
45531744,no
45531952,no
45532038,no
45532129,no
45532467,no
45532469,yes
45532515,yes
45532552,no
45532566,no
45532621,no
45532669,no
45532736,yes
45532751,no
45532861,no
45532875,yes
45532990,yes
45533002,no
45533011,no
45533372,no
45533486,no
45533709,no
45533836,yes
45533838,no
45534002,no
45534624,yes
45534755,yes
45534801,no
45535130,no
45535480,no
45538431,no
45538766,no
45539888,yes
45545018,no
45620711,yes
45565965,yes
45581223,no
45636127,no
45643144,yes
45645902,no
45646113,yes
45646144,no
45646341,no
45646547,no
45647062,yes
45648788,no
45684298,yes
45722635,no
45723688,no
45723975,no
45724184,no
45724607,no
45724967,yes
45725014,no
45725228,no
45725243,no
45725630,no
45725904,no
45728367,no
45728863,no
45755673,no
45792040,yes
45792837,no
45793868,no
45794114,no
45794129,no
45794326,no
45804343,yes
45824972,no
45839357,no
45841428,no
45883706,no
45930659,yes
45931364,no
45932213,yes
45932458,no
45932611,no
45932638,no
45933510,no
45934800,no
45934822,no
45935533,no
45936029,no
45938546,no
45940483,no
45975839,no
46095355,no
46211746,no
46212016,no
46219951,yes
46271367,no
46272582,no
46273188,no
46275572,no
46278182,no
46284132,no
46290625,no
46304620,yes
46361552,yes
46361575,no
46361589,no
46363374,no
46367310,yes
46383076,no
46384136,no
46388558,no
46409307,yes
46434236,yes
46435112,no
46434650,no
46468013,no
46469194,no
46486930,no
46492774,yes
46493150,yes
46493151,no
46493157,no
46493336,no
46493492,no
46493577,no
46494101,no
46494317,no
46494407,no
46494440,no
46494507,no
46494524,no
46494663,no
46494870,no
46495039,no
46495069,no
46495102,no
46495424,no
46495439,no
46495548,no
46496421,no
46496822,no
46496870,no
46498293,yes
46498606,no
46509089,no
46514632,yes
46614015,yes
46614026,no
46620131,no
46648215,yes
46670181,no
46671339,no
46672035,no
46672183,no
46672317,no
46672369,no
46672600,no
46672638,no
46672685,no
46672738,no
46672793,no
46672795,yes
46673555,no
46674202,yes
46674219,no
46674422,no
46674868,no
46674917,no
46675037,no
46675046,no
46675054,no
46675406,no
46675437,no
46675824,no
46675897,yes
46677892,no
46686417,no
46686684,no
46686704,no
46753184,yes
46753200,no
46673378,no
46706796,yes
46707437,no
46707504,no
46707535,yes
46707592,yes
46707650,yes
46707657,no
46707762,no
46707773,no
46707810,no
46707841,no
46707969,no
46708052,no
46708157,no
46708170,yes
46708238,no
46708242,no
46708336,no
46708456,no
46708546,no
46708634,no
46708648,no
46708667,no
46708887,no
46708983,yes
46709003,no
46709025,no
46709088,no
46709161,no
46709304,no
46709403,no
46709440,no
46710345,no
46710484,no
46710633,no
46710904,no
46711014,no
46711072,yes
46711196,no
46711336,yes
46711494,no
46711713,no
46711797,no
46717453,no
46822280,yes
46822304,no
46717480,yes
46774527,no
46776065,no
46779485,yes
46781197,no
46784059,no
46779540,yes
46791944,no
46796514,yes
46824361,yes
46824506,no
46825071,no
46885212,yes
46886176,yes
46893051,no
46896630,yes
46887332,yes
46888000,no
46895010,yes
46930917,no
47077762,no
46966879,yes
46968970,no
46973084,no
46973537,yes
46973691,yes
46987895,no
46988290,yes
47152030,yes
46992058,yes
46996368,yes
47006768,yes
47012263,yes
47022738,no
47032334,no
47089618,no
47035530,no
47046308,no
47049848,no
47050676,no
