item_id,decision,reason,code
25726036,drop,below-recall-gate,
26173873,drop,technical-only,
26173928,drop,below-recall-gate,
26401821,drop,below-recall-gate,
26584730,keep,,warning-cannot-be-satisfied
26584984,drop,technical-only,
26585159,keep,,informed-acceptance
26585220,drop,technical-only,
26585236,drop,technical-only,
26585307,drop,technical-only,
26585416,drop,technical-only,
26585483,drop,off-topic,
26585746,keep,,warning-cannot-be-satisfied
26776847,drop,below-recall-gate,
27453485,drop,below-recall-gate,
27672373,drop,technical-only,
27672560,drop,below-recall-gate,
28131515,drop,below-recall-gate,
28132981,drop,below-recall-gate,
29140459,drop,below-recall-gate,
29226864,drop,technical-only,
29227313,drop,below-recall-gate,
29227530,drop,below-recall-gate,
29227562,drop,below-recall-gate,
29227593,drop,off-topic,
29227628,drop,below-recall-gate,
29227727,drop,below-recall-gate,
29227995,drop,off-topic,
29228070,drop,off-topic,
29228096,drop,off-topic,
29228221,drop,off-topic,
29228341,drop,below-recall-gate,
29228477,drop,off-topic,
29228636,drop,below-recall-gate,
29228683,drop,below-recall-gate,
29228769,drop,below-recall-gate,
29229469,drop,below-recall-gate,
29229685,drop,off-topic,
29229735,drop,below-recall-gate,
29229905,drop,below-recall-gate,
29230166,drop,below-recall-gate,
29230418,drop,technical-only,
29230502,drop,below-recall-gate,
29230710,drop,below-recall-gate,
29231107,drop,below-recall-gate,
29231941,drop,below-recall-gate,
29232663,drop,off-topic,
29233254,drop,below-recall-gate,
29239173,drop,below-recall-gate,
29242864,drop,below-recall-gate,
29250081,drop,below-recall-gate,
29260051,drop,below-recall-gate,
29357993,drop,off-topic,
30214652,drop,off-topic,
30216137,drop,below-recall-gate,
30216841,drop,below-recall-gate,
30217243,drop,below-recall-gate,
30217385,drop,below-recall-gate,
30217460,drop,below-recall-gate,
30218486,drop,below-recall-gate,
30218643,drop,below-recall-gate,
30218983,drop,off-topic,
30219039,drop,below-recall-gate,
30219532,drop,below-recall-gate,
30219776,drop,below-recall-gate,
30219869,drop,below-recall-gate,
30219992,drop,below-recall-gate,
30220192,drop,below-recall-gate,
30220343,drop,below-recall-gate,
30220484,drop,below-recall-gate,
30220608,drop,below-recall-gate,
30221138,drop,below-recall-gate,
30228586,drop,below-recall-gate,
30232286,drop,below-recall-gate,
30233419,drop,below-recall-gate,
30235645,drop,off-topic,
30237216,drop,below-recall-gate,
30239806,drop,below-recall-gate,
31409616,drop,technical-only,
31409704,keep,kept-though-below-gate,informed-acceptance
31409852,drop,technical-only,
31411500,drop,below-recall-gate,
31417173,drop,below-recall-gate,
31420110,drop,below-recall-gate,
31453273,drop,off-topic,
31453423,drop,below-recall-gate,
31453490,drop,off-topic,
31453898,drop,off-topic,
31454061,drop,below-recall-gate,
31454102,drop,below-recall-gate,
31454885,drop,below-recall-gate,
31457599,drop,below-recall-gate,
31549457,drop,below-recall-gate,
31549591,drop,below-recall-gate,
31550565,drop,below-recall-gate,
31551710,drop,below-recall-gate,
31551765,drop,off-topic,
31559387,drop,off-topic,
31559528,drop,below-recall-gate,
31562168,drop,off-topic,
31614248,drop,below-recall-gate,
31614301,drop,below-recall-gate,
31614326,drop,below-recall-gate,
31614375,drop,below-recall-gate,
32039965,drop,off-topic,
32217718,drop,below-recall-gate,
32251262,drop,below-recall-gate,
32585258,drop,below-recall-gate,
32643547,drop,no-account,
32643638,drop,no-account,
32643682,drop,no-account,
32643691,drop,below-recall-gate,
32643855,drop,below-recall-gate,
32644494,drop,no-account,
32644913,drop,below-recall-gate,
33095644,drop,off-topic,
33096538,drop,below-recall-gate,
33096847,drop,below-recall-gate,
33107611,keep,,workaround-becomes-standard
33107694,drop,technical-only,
33107845,drop,below-recall-gate,
33111903,keep,,workaround-becomes-standard
33112247,keep,,trust-store-unmaintainable
33115324,drop,below-recall-gate,
33115854,drop,technical-only,
33117840,drop,technical-only,
33133644,keep,,informed-acceptance
33133720,drop,below-recall-gate,
33135103,drop,below-recall-gate,
33200193,drop,below-recall-gate,
33272862,drop,technical-only,
33418969,drop,below-recall-gate,
33433954,drop,below-recall-gate,
33521836,drop,technical-only,
33776703,drop,below-recall-gate,
34149176,drop,off-topic,
34152945,drop,off-topic,
34154053,drop,off-topic,
34156636,drop,below-recall-gate,
34159273,drop,below-recall-gate,
34328245,drop,technical-only,
34647054,drop,below-recall-gate,
34647791,drop,off-topic,
34653090,keep,,workaround-becomes-standard
34817163,drop,off-topic,
34817837,drop,below-recall-gate,
34881812,drop,technical-only,
34883154,drop,off-topic,
34969662,drop,below-recall-gate,
34970409,drop,off-topic,
34970696,drop,below-recall-gate,
34970834,drop,below-recall-gate,
34970906,drop,below-recall-gate,
35168499,drop,off-topic,
35168638,drop,below-recall-gate,
35168780,drop,below-recall-gate,
35169144,drop,below-recall-gate,
35427910,drop,below-recall-gate,
35793849,drop,below-recall-gate,
35800927,drop,below-recall-gate,
36349820,drop,below-recall-gate,
36491321,drop,below-recall-gate,
36498378,drop,below-recall-gate,
36505419,keep,,trust-store-unmaintainable
36505541,drop,below-recall-gate,
36505922,drop,technical-only,
36505958,keep,,trust-store-unmaintainable
36505980,drop,technical-only,
36506110,keep,,trust-store-unmaintainable
36506146,drop,technical-only,
36506195,keep,,org-friction-as-cause
36506230,drop,below-recall-gate,
36506246,keep,,warning-cannot-be-satisfied
36506258,keep,,workaround-becomes-standard
36506755,keep,,org-friction-as-cause
36506843,drop,technical-only,
36507168,keep,,habituation-by-design
36507242,drop,technical-only,
36507332,keep,,warning-cannot-be-satisfied
36507341,keep,,habituation-by-design
36507719,drop,below-recall-gate,
36507921,keep,,warning-cannot-be-satisfied
36508005,keep,,warning-cannot-be-satisfied
36508087,keep,,removing-the-warning-is-the-goal
36508293,drop,below-recall-gate,
36508450,drop,technical-only,
36508463,drop,below-recall-gate,
36508908,drop,technical-only,
36509383,drop,technical-only,
36509461,drop,below-recall-gate,
36510367,keep,,trust-store-unmaintainable
36511079,drop,below-recall-gate,
36512276,keep,,trust-store-unmaintainable
36513298,drop,below-recall-gate,
36513357,drop,technical-only,
36513476,keep,,workaround-becomes-standard
36513603,drop,below-recall-gate,
36527960,drop,below-recall-gate,
36529757,drop,below-recall-gate,
36579602,drop,below-recall-gate,
36732692,drop,off-topic,
36733171,drop,below-recall-gate,
36733594,drop,below-recall-gate,
36734268,drop,below-recall-gate,
36736673,drop,below-recall-gate,
36742214,drop,off-topic,
36754061,drop,below-recall-gate,
